count,working_day,weekend_day,public_holiday,date
7,1,0,0,2016-10-11
106,1,0,0,2016-10-12
78,1,0,0,2016-10-13
134,1,0,0,2016-10-14
152,0,1,0,2016-10-15
94,0,1,0,2016-10-16
54,1,0,0,2016-10-17
55,1,0,0,2016-10-18
103,1,0,0,2016-10-19
59,1,0,0,2016-10-20
99,1,0,0,2016-10-21
158,0,1,0,2016-10-22
94,0,1,0,2016-10-23
54,1,0,0,2016-10-24
64,1,0,0,2016-10-25
102,1,0,0,2016-10-26
70,1,0,0,2016-10-27
117,1,0,0,2016-10-28
141,0,1,0,2016-10-29
88,0,1,0,2016-10-30
99,1,0,0,2016-10-31
78,0,0,1,2016-11-01
80,1,0,0,2016-11-02
71,1,0,0,2016-11-03
143,1,0,0,2016-11-04
154,0,1,0,2016-11-05
103,0,1,0,2016-11-06
44,1,0,0,2016-11-07
64,1,0,0,2016-11-08
105,1,0,0,2016-11-09
99,1,0,0,2016-11-10
109,0,0,1,2016-11-11
146,0,1,0,2016-11-12
103,0,1,0,2016-11-13
52,1,0,0,2016-11-14
59,1,0,0,2016-11-15
96,1,0,0,2016-11-16
53,1,0,0,2016-11-17
123,1,0,0,2016-11-18
162,0,1,0,2016-11-19
92,0,1,0,2016-11-20
73,1,0,0,2016-11-21
68,1,0,0,2016-11-22
95,1,0,0,2016-11-23
2,1,0,0,2016-11-24
0,1,0,0,2016-11-25
0,0,1,0,2016-11-26
0,0,1,0,2016-11-27
0,1,0,0,2016-11-28
0,1,0,0,2016-11-29
0,1,0,0,2016-11-30
79,1,0,0,2016-12-01
134,1,0,0,2016-12-02
161,0,1,0,2016-12-03
97,0,1,0,2016-12-04
78,1,0,0,2016-12-05
82,1,0,0,2016-12-06
108,1,0,0,2016-12-07
71,1,0,0,2016-12-08
151,1,0,0,2016-12-09
199,0,1,0,2016-12-10
122,0,1,0,2016-12-11
54,1,0,0,2016-12-12
82,1,0,0,2016-12-13
115,1,0,0,2016-12-14
81,1,0,0,2016-12-15
131,1,0,0,2016-12-16
189,0,1,0,2016-12-17
127,0,1,0,2016-12-18
69,1,0,0,2016-12-19
83,1,0,0,2016-12-20
121,1,0,0,2016-12-21
101,1,0,0,2016-12-22
115,1,0,0,2016-12-23
0,0,1,0,2016-12-24
0,0,1,1,2016-12-25
0,0,0,1,2016-12-26
99,1,0,0,2016-12-27
115,1,0,0,2016-12-28
105,1,0,0,2016-12-29
141,1,0,0,2016-12-30
55,0,1,0,2016-12-31
71,0,1,1,2017-01-01
81,1,0,0,2017-01-02
82,1,0,0,2017-01-03
112,1,0,0,2017-01-04
105,1,0,0,2017-01-05
146,0,0,1,2017-01-06
197,0,1,0,2017-01-07
132,0,1,0,2017-01-08
73,1,0,0,2017-01-09
103,1,0,0,2017-01-10
102,1,0,0,2017-01-11
82,1,0,0,2017-01-12
134,1,0,0,2017-01-13
189,0,1,0,2017-01-14
99,0,1,0,2017-01-15
48,1,0,0,2017-01-16
77,1,0,0,2017-01-17
102,1,0,0,2017-01-18
87,1,0,0,2017-01-19
136,1,0,0,2017-01-20
171,0,1,0,2017-01-21
101,0,1,0,2017-01-22
59,1,0,0,2017-01-23
57,1,0,0,2017-01-24
76,1,0,0,2017-01-25
78,1,0,0,2017-01-26
108,1,0,0,2017-01-27
152,0,1,0,2017-01-28
100,0,1,0,2017-01-29
85,1,0,0,2017-01-30
82,1,0,0,2017-01-31
92,1,0,0,2017-02-01
90,1,0,0,2017-02-02
107,1,0,0,2017-02-03
143,0,1,0,2017-02-04
112,0,1,0,2017-02-05
72,1,0,0,2017-02-06
95,1,0,0,2017-02-07
99,1,0,0,2017-02-08
158,1,0,0,2017-02-09
143,1,0,0,2017-02-10
169,0,1,0,2017-02-11
123,0,1,0,2017-02-12
60,1,0,0,2017-02-13
122,1,0,0,2017-02-14
115,1,0,0,2017-02-15
77,1,0,0,2017-02-16
99,1,0,0,2017-02-17
174,0,1,0,2017-02-18
97,0,1,0,2017-02-19
78,1,0,0,2017-02-20
64,1,0,0,2017-02-21
101,1,0,0,2017-02-22
64,1,0,0,2017-02-23
126,1,0,0,2017-02-24
157,0,1,0,2017-02-25
128,0,1,0,2017-02-26
56,1,0,0,2017-02-27
69,1,0,0,2017-02-28
80,1,0,0,2017-03-01
71,1,0,0,2017-03-02
126,1,0,0,2017-03-03
158,0,1,0,2017-03-04
112,0,1,0,2017-03-05
74,1,0,0,2017-03-06
73,1,0,0,2017-03-07
137,1,0,0,2017-03-08
89,1,0,0,2017-03-09
144,1,0,0,2017-03-10
172,0,1,0,2017-03-11
116,0,1,0,2017-03-12
69,1,0,0,2017-03-13
81,1,0,0,2017-03-14
109,1,0,0,2017-03-15
66,1,0,0,2017-03-16
106,1,0,0,2017-03-17
185,0,1,0,2017-03-18
87,0,1,0,2017-03-19
49,1,0,0,2017-03-20
68,1,0,0,2017-03-21
109,1,0,0,2017-03-22
91,1,0,0,2017-03-23
122,1,0,0,2017-03-24
170,0,1,0,2017-03-25
112,0,1,0,2017-03-26
65,1,0,0,2017-03-27
65,1,0,0,2017-03-28
119,1,0,0,2017-03-29
67,1,0,0,2017-03-30
139,1,0,0,2017-03-31
144,0,1,0,2017-04-01
113,0,1,0,2017-04-02
68,1,0,0,2017-04-03
67,1,0,0,2017-04-04
132,1,0,0,2017-04-05
72,1,0,0,2017-04-06
120,1,0,0,2017-04-07
172,0,1,0,2017-04-08
133,0,1,0,2017-04-09
77,1,0,0,2017-04-10
87,1,0,0,2017-04-11
136,1,0,0,2017-04-12
111,1,0,0,2017-04-13
95,1,0,0,2017-04-14
0,0,1,0,2017-04-15
0,0,1,1,2017-04-16
115,0,0,1,2017-04-17
85,1,0,0,2017-04-18
105,1,0,0,2017-04-19
100,1,0,0,2017-04-20
149,1,0,0,2017-04-21
188,0,1,0,2017-04-22
132,0,1,0,2017-04-23
57,1,0,0,2017-04-24
67,1,0,0,2017-04-25
113,1,0,0,2017-04-26
69,1,0,0,2017-04-27
137,1,0,0,2017-04-28
165,0,1,0,2017-04-29
93,0,1,0,2017-04-30
99,0,0,1,2017-05-01
137,1,0,0,2017-05-02
143,0,0,1,2017-05-03
89,1,0,0,2017-05-04
123,1,0,0,2017-05-05
132,0,1,0,2017-05-06
110,0,1,0,2017-05-07
75,1,0,0,2017-05-08
77,1,0,0,2017-05-09
118,1,0,0,2017-05-10
92,1,0,0,2017-05-11
118,1,0,0,2017-05-12
159,0,1,0,2017-05-13
111,0,1,0,2017-05-14
66,1,0,0,2017-05-15
65,1,0,0,2017-05-16
105,1,0,0,2017-05-17
83,1,0,0,2017-05-18
120,1,0,0,2017-05-19
138,0,1,0,2017-05-20
125,0,1,0,2017-05-21
46,1,0,0,2017-05-22
59,1,0,0,2017-05-23
100,1,0,0,2017-05-24
68,1,0,0,2017-05-25
132,1,0,0,2017-05-26
153,0,1,0,2017-05-27
80,0,1,0,2017-05-28
68,1,0,0,2017-05-29
69,1,0,0,2017-05-30
107,1,0,0,2017-05-31
112,1,0,0,2017-06-01
130,1,0,0,2017-06-02
132,0,1,0,2017-06-03
134,0,1,1,2017-06-04
63,1,0,0,2017-06-05
63,1,0,0,2017-06-06
116,1,0,0,2017-06-07
91,1,0,0,2017-06-08
137,1,0,0,2017-06-09
160,0,1,0,2017-06-10
119,0,1,0,2017-06-11
65,1,0,0,2017-06-12
86,1,0,0,2017-06-13
124,1,0,0,2017-06-14
110,0,0,1,2017-06-15
158,1,0,0,2017-06-16
144,0,1,0,2017-06-17
106,0,1,0,2017-06-18
81,1,0,0,2017-06-19
65,1,0,0,2017-06-20
112,1,0,0,2017-06-21
91,1,0,0,2017-06-22
173,1,0,0,2017-06-23
173,0,1,0,2017-06-24
125,0,1,0,2017-06-25
68,1,0,0,2017-06-26
62,1,0,0,2017-06-27
94,1,0,0,2017-06-28
81,1,0,0,2017-06-29
137,1,0,0,2017-06-30
164,0,1,0,2017-07-01
108,0,1,0,2017-07-02
68,1,0,0,2017-07-03
77,1,0,0,2017-07-04
114,1,0,0,2017-07-05
105,1,0,0,2017-07-06
139,1,0,0,2017-07-07
142,0,1,0,2017-07-08
101,0,1,0,2017-07-09
83,1,0,0,2017-07-10
87,1,0,0,2017-07-11
141,1,0,0,2017-07-12
